map_layout_code,max_cars,max_bikes,count_cars,throughput
1,13,15,136,10.46153846
1,13,15,123,9.461538462
1,13,15,125,9.615384615
1,13,15,129,9.923076923
1,13,15,121,9.307692308
1,13,15,127,9.769230769
1,13,15,124,9.538461538
1,1,0,106,106
1,1,3,84,84
1,1,6,67,67
1,1,9,53,53
1,1,12,40,40
1,3,0,284,94.66666667
1,3,3,204,68
1,1,15,35,35
1,3,6,158,52.66666667
1,3,9,128,42.66666667
1,3,12,106,35.33333333
1,5,0,345,69
1,3,15,83,27.66666667
1,5,3,254,50.8
1,5,6,214,42.8
1,5,9,174,34.8
1,5,12,142,28.4
1,5,15,110,22
1,7,0,326,46.57142857
1,7,3,266,38
1,7,6,226,32.28571429
1,7,9,190,27.14285714
1,7,12,135,19.28571429
1,7,15,120,17.14285714
1,9,0,337,37.44444444
1,9,3,282,31.33333333
1,9,6,231,25.66666667
1,9,9,172,19.11111111
1,9,12,154,17.11111111
1,9,15,118,13.11111111
1,11,3,306,27.81818182
1,11,0,307,27.90909091
1,11,6,240,21.81818182
1,11,9,201,18.27272727
1,11,12,163,14.81818182
1,11,15,152,13.81818182
1,13,0,346,26.61538462
1,13,3,298,22.92307692
1,13,6,240,18.46153846
1,13,9,215,16.53846154
1,13,12,165,12.69230769
1,13,15,120,9.230769231
1,1,0,106,106
1,1,3,83,83
1,1,6,67,67
1,1,9,49,49
1,1,12,50,50
1,1,15,33,33
1,3,0,273,91
1,3,3,213,71
1,3,6,171,57
1,3,9,132,44
1,3,12,105,35
1,3,15,86,28.66666667
1,5,0,336,67.2
1,5,3,250,50
1,5,6,206,41.2
1,5,9,171,34.2
1,5,12,146,29.2
1,5,15,106,21.2
1,7,0,320,45.71428571
1,7,3,279,39.85714286
1,7,6,212,30.28571429
1,7,9,194,27.71428571
1,7,12,170,24.28571429
1,7,15,112,16
1,9,0,321,35.66666667
1,9,3,282,31.33333333
1,9,6,245,27.22222222
1,9,9,202,22.44444444
1,9,12,147,16.33333333
1,9,15,132,14.66666667
1,11,0,324,29.45454545
1,11,3,265,24.09090909
1,11,6,243,22.09090909
1,11,9,205,18.63636364
1,11,12,170,15.45454545
1,11,15,123,11.18181818
1,13,0,311,23.92307692
1,13,3,296,22.76923077
1,13,6,233,17.92307692
1,13,9,227,17.46153846
1,13,12,137,10.53846154
1,13,15,141,10.84615385
1,1,0,105,105
1,1,3,82,82
1,1,6,70,70
1,1,9,59,59
1,1,12,41,41
1,1,15,35,35
1,3,0,280,93.33333333
1,3,3,207,69
1,3,6,155,51.66666667
1,3,9,124,41.33333333
1,3,12,105,35
1,3,15,84,28
1,5,0,329,65.8
1,5,3,272,54.4
1,5,6,227,45.4
1,5,9,184,36.8
1,5,12,142,28.4
1,5,15,109,21.8
1,7,0,324,46.28571429
1,7,3,284,40.57142857
1,7,6,240,34.28571429
1,7,9,192,27.42857143
1,7,12,148,21.14285714
1,7,15,125,17.85714286
1,9,0,322,35.77777778
1,9,3,269,29.88888889
1,9,6,226,25.11111111
1,9,9,190,21.11111111
1,9,12,171,19
1,9,15,123,13.66666667
1,11,0,328,29.81818182
1,11,3,293,26.63636364
1,11,6,234,21.27272727
1,11,9,192,17.45454545
1,11,12,157,14.27272727
1,11,15,124,11.27272727
1,13,0,324,24.92307692
1,13,3,277,21.30769231
1,13,6,244,18.76923077
1,13,9,199,15.30769231
1,13,12,169,13
1,13,15,130,10
1,1,0,106,106
1,1,3,85,85
1,1,6,65,65
1,1,9,58,58
1,1,12,45,45
1,1,15,34,34
1,3,0,276,92
1,3,3,218,72.66666667
1,3,6,167,55.66666667
1,3,9,141,47
1,3,12,109,36.33333333
1,3,15,83,27.66666667
1,5,0,312,62.4
1,5,3,275,55
1,5,6,215,43
1,5,9,175,35
1,5,12,114,22.8
1,5,15,105,21
1,7,0,328,46.85714286
1,7,3,279,39.85714286
1,7,6,239,34.14285714
1,7,9,201,28.71428571
1,7,12,144,20.57142857
1,7,15,125,17.85714286
1,9,0,331,36.77777778
1,9,3,283,31.44444444
1,9,6,233,25.88888889
1,9,9,186,20.66666667
1,9,12,166,18.44444444
1,9,15,141,15.66666667
1,11,0,344,31.27272727
1,11,3,287,26.09090909
1,11,6,245,22.27272727
1,11,9,190,17.27272727
1,11,12,165,15
1,11,15,126,11.45454545
1,13,0,332,25.53846154
1,13,3,281,21.61538462
1,13,6,229,17.61538462
1,13,9,196,15.07692308
1,13,12,155,11.92307692
1,13,15,122,9.384615385
1,1,0,104,104
1,1,3,88,88
1,1,6,65,65
1,1,9,52,52
1,1,12,43,43
1,1,15,33,33
1,3,0,286,95.33333333
1,3,3,205,68.33333333
1,3,6,165,55
1,3,9,128,42.66666667
1,3,12,99,33
1,3,15,83,27.66666667
1,5,0,329,65.8
1,5,3,260,52
1,5,6,228,45.6
1,5,9,161,32.2
1,5,12,136,27.2
1,5,15,115,23
1,7,0,342,48.85714286
1,7,3,288,41.14285714
1,7,6,226,32.28571429
1,7,9,184,26.28571429
1,7,12,150,21.42857143
1,7,15,119,17
1,9,0,330,36.66666667
1,9,3,274,30.44444444
1,9,6,248,27.55555556
1,9,9,187,20.77777778
1,9,12,172,19.11111111
1,9,15,139,15.44444444
1,11,0,325,29.54545455
1,11,3,285,25.90909091
1,11,6,230,20.90909091
1,11,9,203,18.45454545
1,11,12,167,15.18181818
1,11,15,123,11.18181818
1,13,0,333,25.61538462
1,13,3,290,22.30769231
1,13,6,240,18.46153846
1,13,12,184,14.15384615
1,13,9,185,14.23076923
1,13,15,124,9.538461538
2,1,0,106,106
2,1,0,105,105
2,1,0,107,107
2,1,0,104,104
2,1,0,105,105
2,3,0,283,94.33333333
2,3,0,289,96.33333333
2,3,0,288,96
2,3,0,292,97.33333333
2,3,0,291,97
2,5,0,345,69
2,5,0,354,70.8
2,5,0,333,66.6
2,5,0,317,63.4
2,5,0,318,63.6
2,7,0,299,42.71428571
2,7,0,311,44.42857143
2,7,0,334,47.71428571
2,7,0,320,45.71428571
2,7,0,298,42.57142857
2,9,0,318,35.33333333
2,9,0,325,36.11111111
2,9,0,301,33.44444444
2,9,0,303,33.66666667
2,9,0,310,34.44444444
2,11,0,295,26.81818182
2,11,0,332,30.18181818
2,11,0,298,27.09090909
2,11,0,317,28.81818182
2,13,0,317,24.38461538
2,11,0,306,27.81818182
2,13,0,322,24.76923077
2,13,0,302,23.23076923
2,13,0,304,23.38461538
2,13,0,300,23.07692308
2,1,3,91,91
2,1,3,89,89
2,1,3,87,87
2,1,3,91,91
2,1,3,91,91
2,3,3,208,69.33333333
2,3,3,214,71.33333333
2,3,3,204,68
2,3,3,213,71
2,3,3,216,72
2,5,3,251,50.2
2,5,3,256,51.2
2,5,3,231,46.2
2,5,3,240,48
2,5,3,240,48
2,7,3,238,34
2,7,3,246,35.14285714
2,7,3,229,32.71428571
2,7,3,252,36
2,7,3,241,34.42857143
2,9,3,259,28.77777778
2,9,3,229,25.44444444
2,9,3,236,26.22222222
2,9,3,239,26.55555556
2,9,3,251,27.88888889
2,11,3,252,22.90909091
2,11,3,242,22
2,11,3,245,22.27272727
2,11,3,247,22.45454545
2,11,3,248,22.54545455
2,13,3,240,18.46153846
2,13,3,248,19.07692308
2,13,3,241,18.53846154
2,13,3,239,18.38461538
2,13,3,232,17.84615385
2,1,6,73,73
2,1,6,75,75
2,1,6,78,78
2,1,6,72,72
2,1,6,76,76
2,3,6,182,60.66666667
2,3,6,167,55.66666667
2,3,6,161,53.66666667
2,3,6,161,53.66666667
2,3,6,171,57
2,5,6,181,36.2
2,5,6,166,33.2
2,5,6,179,35.8
2,5,6,181,36.2
2,5,6,196,39.2
2,7,6,197,28.14285714
2,7,6,199,28.42857143
2,7,6,181,25.85714286
2,7,6,195,27.85714286
2,7,6,188,26.85714286
2,9,6,202,22.44444444
2,9,6,195,21.66666667
2,9,6,190,21.11111111
2,9,6,193,21.44444444
2,9,6,201,22.33333333
2,11,6,185,16.81818182
2,11,6,186,16.90909091
2,11,6,198,18
2,11,6,180,16.36363636
2,11,6,181,16.45454545
2,13,6,180,13.84615385
2,13,6,191,14.69230769
2,13,6,205,15.76923077
2,13,6,197,15.15384615
2,13,6,206,15.84615385
2,1,9,61,61
2,1,9,63,63
2,1,9,71,71
2,1,9,60,60
2,1,9,62,62
2,3,9,126,42
2,3,9,117,39
2,3,9,113,37.66666667
2,3,9,129,43
2,3,9,124,41.33333333
2,5,9,149,29.8
2,5,9,138,27.6
2,5,9,134,26.8
2,5,9,142,28.4
2,5,9,124,24.8
2,7,9,144,20.57142857
2,7,9,154,22
2,7,9,145,20.71428571
2,7,9,176,25.14285714
2,7,9,156,22.28571429
2,9,9,153,17
2,9,9,160,17.77777778
2,9,9,144,16
2,9,9,164,18.22222222
2,9,9,140,15.55555556
2,11,9,168,15.27272727
2,11,9,137,12.45454545
2,11,9,161,14.63636364
2,11,9,141,12.81818182
2,11,9,158,14.36363636
2,13,9,159,12.23076923
2,13,9,138,10.61538462
2,13,9,159,12.23076923
2,13,9,154,11.84615385
2,13,9,153,11.76923077
2,1,12,43,43
2,1,12,52,52
2,1,12,50,50
2,1,12,49,49
2,1,12,45,45
2,3,12,117,39
2,3,12,106,35.33333333
2,3,12,100,33.33333333
2,3,12,98,32.66666667
2,3,12,101,33.66666667
2,5,12,108,21.6
2,5,12,106,21.2
2,5,12,106,21.2
2,5,12,110,22
2,5,12,109,21.8
2,7,12,105,15
2,7,12,109,15.57142857
2,7,12,101,14.42857143
2,7,12,107,15.28571429
2,7,12,108,15.42857143
2,9,12,118,13.11111111
2,9,12,104,11.55555556
2,9,12,117,13
2,9,12,113,12.55555556
2,9,12,104,11.55555556
2,11,12,125,11.36363636
2,11,12,98,8.909090909
2,11,12,116,10.54545455
2,11,12,114,10.36363636
2,11,12,110,10
2,13,12,118,9.076923077
2,13,12,109,8.384615385
2,13,12,117,9
2,13,12,109,8.384615385
2,13,12,104,8
2,1,15,40,40
2,1,15,34,34
2,1,15,45,45
2,1,15,38,38
2,1,15,37,37
2,3,15,84,28
2,3,15,71,23.66666667
2,3,15,77,25.66666667
2,3,15,72,24
2,3,15,87,29
2,5,15,86,17.2
2,5,15,76,15.2
2,5,15,79,15.8
2,5,15,91,18.2
2,5,15,71,14.2
2,7,15,78,11.14285714
2,7,15,86,12.28571429
2,7,15,92,13.14285714
2,7,15,83,11.85714286
2,7,15,73,10.42857143
2,9,15,82,9.111111111
2,9,15,92,10.22222222
2,9,15,88,9.777777778
2,9,15,85,9.444444444
2,9,15,85,9.444444444
2,11,15,81,7.363636364
2,11,15,90,8.181818182
2,11,15,74,6.727272727
2,11,15,73,6.636363636
2,11,15,79,7.181818182
2,13,15,98,7.538461538
2,13,15,93,7.153846154
2,13,15,81,6.230769231
2,13,15,90,6.923076923
2,13,15,95,7.307692308
2,1,0,105,105
2,1,0,106,106
2,1,0,105,105
2,1,0,105,105
2,1,0,107,107
2,1,0,106,106
2,1,0,106,106
2,1,0,107,107
2,3,0,287,95.66666667
2,3,0,286,95.33333333
2,3,0,287,95.66666667
2,3,0,288,96
2,3,0,288,96
2,3,0,289,96.33333333
2,3,0,286,95.33333333
2,3,0,290,96.66666667
2,5,0,342,68.4
2,5,0,339,67.8
2,5,0,322,64.4
2,5,0,312,62.4
2,5,0,311,62.2
2,5,0,342,68.4
2,5,0,326,65.2
2,5,0,312,62.4
2,7,0,319,45.57142857
2,7,0,317,45.28571429
2,7,0,310,44.28571429
2,7,0,328,46.85714286
2,7,0,334,47.71428571
2,7,0,322,46
2,7,0,310,44.28571429
2,7,0,310,44.28571429
2,9,0,318,35.33333333
2,9,0,307,34.11111111
2,9,0,319,35.44444444
2,9,0,318,35.33333333
2,9,0,318,35.33333333
2,9,0,316,35.11111111
2,9,0,317,35.22222222
2,9,0,315,35
2,11,0,332,30.18181818
2,11,0,332,30.18181818
2,11,0,316,28.72727273
2,11,0,306,27.81818182
2,11,0,319,29
2,11,0,310,28.18181818
2,11,0,311,28.27272727
2,11,0,309,28.09090909
2,13,0,347,26.69230769
2,13,0,314,24.15384615
2,13,0,309,23.76923077
2,13,0,324,24.92307692
2,13,0,313,24.07692308
2,13,0,322,24.76923077
2,13,0,302,23.23076923
2,13,0,307,23.61538462
2,1,3,89,89
2,1,3,86,86
2,1,3,91,91
2,1,3,91,91
2,1,3,85,85
2,1,3,85,85
2,1,3,89,89
2,1,3,90,90
2,3,3,213,71
2,3,3,210,70
2,3,3,218,72.66666667
2,3,3,220,73.33333333
2,3,3,212,70.66666667
2,3,3,219,73
2,3,3,199,66.33333333
2,3,3,202,67.33333333
2,5,3,235,47
2,5,3,248,49.6
2,5,3,232,46.4
2,5,3,246,49.2
2,5,3,229,45.8
2,5,3,246,49.2
2,5,3,224,44.8
2,5,3,223,44.6
2,7,3,243,34.71428571
2,7,3,276,39.42857143
2,7,3,237,33.85714286
2,7,3,251,35.85714286
2,7,3,247,35.28571429
2,7,3,219,31.28571429
2,7,3,242,34.57142857
2,7,3,235,33.57142857
